ID,purchaseNumber,purchaseDate,totalAmount,paymentMethod,note,customer_ID,store_ID
f2000001-0000-4000-8000-000000000001,CP-20251208-00001,2025-12-08T08:40:33Z,240206,포인트,,f1000001-0000-4000-8000-000000000001,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000002,CP-20251006-00002,2025-10-06T09:11:17Z,178281,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000003,CP-20260114-00003,2026-01-14T22:38:27Z,153181,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000004,CP-20260331-00004,2026-03-31T20:18:19Z,99565,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0002-4000-8000-000000000002
f2000001-0000-4000-8000-000000000005,CP-20251211-00005,2025-12-11T17:58:10Z,425242,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0002-4000-8000-000000000002
f2000001-0000-4000-8000-000000000006,CP-20250929-00006,2025-09-29T05:09:03Z,486612,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000007,CP-20260227-00007,2026-02-27T03:16:48Z,34292,현금,,f1000001-0000-4000-8000-000000000001,d1000001-0002-4000-8000-000000000002
f2000001-0000-4000-8000-000000000008,CP-20251125-00008,2025-11-25T09:03:38Z,174762,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0002-4000-8000-000000000002
f2000001-0000-4000-8000-000000000009,CP-20251001-00009,2025-10-01T14:02:12Z,296607,간편결제,,f1000001-0000-4000-8000-000000000001,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000010,CP-20250811-00010,2025-08-11T00:52:11Z,198526,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0002-4000-8000-000000000002
f2000001-0000-4000-8000-000000000011,CP-20250718-00011,2025-07-18T11:36:13Z,73387,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000012,CP-20251125-00012,2025-11-25T16:34:40Z,170001,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000013,CP-20250819-00013,2025-08-19T21:36:57Z,104710,카드,,f1000001-0000-4000-8000-000000000001,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000014,CP-20251122-00014,2025-11-22T13:13:28Z,79075,포인트,,f1000001-0000-4000-8000-000000000002,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000015,CP-20251018-00015,2025-10-18T02:03:33Z,455728,간편결제,,f1000001-0000-4000-8000-000000000002,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000016,CP-20250719-00016,2025-07-19T23:05:37Z,148584,간편결제,,f1000001-0000-4000-8000-000000000002,d1000001-0001-4000-8000-000000000001
f2000001-0000-4000-8000-000000000017,CP-20250823-00017,2025-08-23T07:58:08Z,285848,카드,,f1000001-0000-4000-8000-000000000002,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000018,CP-20251212-00018,2025-12-12T21:39:50Z,327392,간편결제,,f1000001-0000-4000-8000-000000000002,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000019,CP-20251205-00019,2025-12-05T01:13:57Z,393219,현금,,f1000001-0000-4000-8000-000000000002,d1000001-0002-4000-8000-000000000002
f2000001-0000-4000-8000-000000000020,CP-20250902-00020,2025-09-02T02:52:33Z,73887,카드,,f1000001-0000-4000-8000-000000000002,d1000001-0002-4000-8000-000000000002
f2000001-0000-4000-8000-000000000021,CP-20251128-00021,2025-11-28T12:08:34Z,212746,간편결제,,f1000001-0000-4000-8000-000000000002,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000022,CP-20260219-00022,2026-02-19T11:38:13Z,96619,카드,,f1000001-0000-4000-8000-000000000002,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000023,CP-20251124-00023,2025-11-24T16:05:08Z,323342,간편결제,,f1000001-0000-4000-8000-000000000002,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000024,CP-20260226-00024,2026-02-26T07:58:21Z,178601,카드,,f1000001-0000-4000-8000-000000000003,d1000001-0004-4000-8000-000000000004
f2000001-0000-4000-8000-000000000025,CP-20250607-00025,2025-06-07T04:29:50Z,44098,카드,,f1000001-0000-4000-8000-000000000003,d1000001-0002-4000-8000-000000000002
f2000001-0000-4000-8000-000000000026,CP-20251107-00026,2025-11-07T04:13:38Z,248470,카드,,f1000001-0000-4000-8000-000000000003,d1000001-0005-4000-8000-000000000005
f2000001-0000-4000-8000-000000000027,CP-20260310-00027,2026-03-10T18:23:04Z,498964,카드,,f1000001-0000-4000-8000-000000000003,d1000001-0003-4000-8000-000000000003
f2000001-0000-4000-8000-000000000028,CP-20250902-00028,2025-09-02T01:47:56Z,149127,간편결제,,f1000001-0000-4000-8000-000000000003,d1000001-0002-4000-8000-000000000002
